YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1993,NA,14.85,11.48,8.31,6.40,4.86,3.59,3.97,6.81,NA,10.24,NA,14.57,8.73,4.14,8.58,9.01
1994,15.43,16.79,11.69,10.48,6.06,2.20,2.92,5.40,5.93,8.95,11.27,14.97,15.63,9.41,3.51,8.72,9.31
1995,16.40,16.84,13.17,9.90,6.48,3.51,NA,3.56,6.61,9.64,11.26,14.72,16.07,9.85,3.09,9.17,9.55
1996,16.32,14.43,11.06,9.05,6.05,2.06,1.02,3.41,8.17,10.48,10.60,12.69,15.16,8.72,2.16,9.75,8.95
1997,15.21,16.74,12.06,9.23,7.33,3.36,2.13,4.68,6.12,10.81,12.06,13.68,14.88,9.54,3.39,9.66,9.37
1998,17.44,18.66,NA,NA,6.81,2.77,3.28,4.41,9.02,10.00,12.35,15.31,16.59,NA,3.49,10.46,10.23
1999,17.95,17.82,15.74,9.34,8.44,3.62,3.07,4.24,8.48,11.19,11.23,14.20,17.03,11.17,3.64,10.30,10.54
2000,14.98,16.19,13.29,NA,6.06,3.05,1.81,3.63,6.70,9.38,9.80,15.02,15.12,9.70,2.83,8.63,9.07
2001,NA,16.04,12.94,10.65,NA,4.03,1.70,5.08,8.90,11.12,12.26,14.71,15.85,9.92,3.60,10.76,10.03
2002,15.60,14.49,NA,NA,7.92,NA,2.51,5.16,8.01,8.76,11.58,14.95,14.93,NA,3.64,9.45,9.39
2003,15.85,14.78,14.48,8.71,7.17,5.48,2.77,4.39,5.88,8.93,11.19,15.14,15.19,10.12,4.21,8.67,9.55
2004,16.60,NA,13.58,8.65,5.99,4.54,1.48,3.03,6.71,9.63,12.51,11.62,16.04,9.41,3.02,9.62,9.52
2005,16.47,16.86,12.99,9.45,5.99,2.57,4.17,5.95,8.55,9.86,13.00,16.86,14.98,9.48,4.23,10.47,9.79
2006,15.80,15.65,11.44,10.60,5.15,-0.05,2.25,4.90,9.29,9.45,11.19,12.20,16.10,9.06,2.37,9.98,9.38
2007,16.10,16.50,14.55,10.15,8.95,1.90,1.10,5.00,8.10,9.15,12.35,15.45,14.93,11.22,2.67,9.87,9.67
2008,18.50,16.40,14.30,9.30,3.95,4.50,2.35,3.90,8.15,9.55,12.55,13.90,16.78,9.18,3.58,10.08,9.91
2009,16.70,14.40,13.35,9.70,4.29,1.60,1.05,6.50,7.95,8.45,13.15,14.35,15.00,9.11,3.05,9.85,9.25
2010,16.30,17.35,14.75,12.10,6.70,2.00,2.20,5.25,7.59,10.35,15.20,15.95,16.00,11.18,3.15,11.05,10.35
2011,15.80,15.45,13.05,9.40,8.35,NA,NA,NA,7.20,9.60,12.10,15.84,15.73,10.27,NA,9.63,9.72
2012,15.95,15.85,12.00,10.25,5.80,2.60,2.40,5.45,7.95,9.00,11.44,15.64,15.88,9.35,3.48,9.46,9.54
2013,16.60,16.65,14.90,10.50,NA,2.40,5.15,6.55,7.40,10.30,13.70,15.50,16.30,10.83,4.70,10.47,10.57
2014,14.75,16.60,14.00,10.15,7.10,4.29,3.50,5.10,8.15,10.20,11.00,15.80,15.62,10.42,4.30,9.78,10.03
2015,17.90,15.95,14.20,10.60,6.65,2.20,3.05,4.35,6.50,11.35,12.65,15.40,16.55,10.48,3.20,10.17,10.10
2016,16.20,18.95,14.80,11.10,8.15,4.60,3.40,4.55,8.85,10.15,12.20,14.80,16.85,11.35,4.18,10.40,10.70
2017,14.35,16.00,13.45,10.65,4.90,3.10,1.80,5.85,7.90,11.50,14.10,17.65,15.05,9.67,3.58,11.17,9.87
2018,19.65,15.05,14.10,9.60,6.15,2.45,4.00,4.90,7.60,10.55,11.35,15.35,17.45,9.95,3.78,9.83,10.25
2019,17.85,15.80,15.55,8.45,7.65,2.85,4.45,5.15,7.10,9.00,14.00,13.25,16.33,10.55,4.15,10.03,10.27
2020,17.25,17.35,12.35,9.95,6.60,2.90,2.40,6.20,7.65,NA,NA,NA,15.95,9.63,3.83,NA,9.90
